[ 3][t 4][1758618412.893285512][FileManager.cpp:2051][#1][!Td]	Choose between [Thumbnail, DcId{4}, [file_reference:AGjSYywssPc+Um9fpdjginhJz4A8], location = [ID = 5935881039158187071, access_hash = 3058279880066009043, PhotoSizeSourceThumbnail[Thumbnail, type = m]]] from Binlog and [Thumbnail, DcId{4}, [file_reference:AGjSYywssPc+Um9fpdjginhJz4A8], location = [ID = 5935881039158187071, access_hash = 3058279880066009043, PhotoSizeSourceThumbnail[Thumbnail, type = m]]] from Server
[ 4][t 4][1758618412.893287181][FileManager.cpp:2301][#1][!Td]	Have x_node->pmc_id_ = 0, y_node->pmc_id_ = 232, x_node_size = 1, y_node_size = 1, node_i = 1, local_i = 2, remote_i = 2, generate_i = 2, size_i = 2, remote_name_i = 1, url_i = 1, owner_i = 2, encryption_key_i = 2, main_file_id_i = 1, trusted_by_source = 1, x_source = Binlog, y_source = Server
[ 4][t 4][1758618412.893288850][FileManager.cpp:1643][#1][!Td]	Forget file 11256(0)
[ 3][t 4][1758618412.893290281][FileManager.cpp:2051][#1][!Td]	Choose between [Animation, DcId{4}, [file_reference:AGjSYywssPc+Um9fpdjginhJz4A8], location = [ID = 5935881039158187071, access_hash = 3058279880066009043]] from Binlog and [Animation, DcId{4}, [file_reference:AGjSYywssPc+Um9fpdjginhJz4A8], location = [ID = 5935881039158187071, access_hash = 3058279880066009043]] from Server
[ 3][t 4][1758618412.893292188][FileManager.cpp:1789][#1][!Td]	Register [Animation, DcId{4}, [file_reference:AGjSYywssPc+Um9fpdjginhJz4A8], location = [ID = 5935881039158187071, access_hash = 3058279880066009043]] as 11256(0)
[ 3][t 4][1758618412.893295049][FileManager.cpp:2219][#1][!Td]	Merge new file 11256(0) and old file 11001(0)
[ 3][t 4][1758618412.893296241][FileManager.cpp:2051][#1][!Td]	Choose between [Animation, DcId{4}, [file_reference:AGjSYywssPc+Um9fpdjginhJz4A8], location = [ID = 5935881039158187071, access_hash = 3058279880066009043]] from Binlog and [Animation, DcId{4}, [file_reference:AGjSYywssPc+Um9fpdjginhJz4A8], location = [ID = 5935881039158187071, access_hash = 3058279880066009043]] from Server
[ 4][t 4][1758618412.893297672][FileManager.cpp:2301][#1][!Td]	Have x_node->pmc_id_ = 0, y_node->pmc_id_ = 68, x_node_size = 1, y_node_size = 1, node_i = 1, local_i = 2, remote_i = 2, generate_i = 2, size_i = 2, remote_name_i = 1, url_i = 1, owner_i = 2, encryption_key_i = 2, main_file_id_i = 1, trusted_by_source = 1, x_source = Binlog, y_source = Server
[ 4][t 4][1758618412.893299341][FileManager.cpp:1643][#1][!Td]	Forget file 11256(0)
[ 3][t 4][1758618412.893300533][AnimationsManager.cpp:172][#1][!Td]	Ignore animation 11001(11001) of size (208, 158)
[ 3][t 4][1758618412.893302440][FileManager.cpp:2051][#1][!Td]	Choose between [Animation, DcId{4}, [file_reference:AGjSYywQZEgkdkba16JDO67PztQx], location = [ID = 5986595626442294065, access_hash = 4685477135762178250]] from Binlog and [Animation, DcId{4}, [file_reference:AGjSYywQZEgkdkba16JDO67PztQx], location = [ID = 5986595626442294065, access_hash = 4685477135762178250]] from Server
[ 3][t 4][1758618412.893310785][FileManager.cpp:1789][#1][!Td]	Register [Animation, DcId{4}, [file_reference:AGjSYywQZEgkdkba16JDO67PztQx], location = [ID = 5986595626442294065, access_hash = 4685477135762178250]] as 11256(0)
[ 3][t 4][1758618412.893324851][FileManager.cpp:2219][#1][!Td]	Merge new file 11256(0) and old file 11003(0)
[ 3][t 4][1758618412.893326520][FileManager.cpp:2051][#1][!Td]	Choose between [Animation, DcId{4}, [file_reference:AGjSYywQZEgkdkba16JDO67PztQx], location = [ID = 5986595626442294065, access_hash = 4685477135762178250]] from Binlog and [Animation, DcId{4}, [file_reference:AGjSYywQZEgkdkba16JDO67PztQx], location = [ID = 5986595626442294065, access_hash = 4685477135762178250]] from Server
[ 4][t 4][1758618412.893328189][FileManager.cpp:2301][#1][!Td]	Have x_node->pmc_id_ = 0, y_node->pmc_id_ = 151, x_node_size = 1, y_node_size = 1, node_i = 1, local_i = 2, remote_i = 2, generate_i = 2, size_i = 2, remote_name_i = 1, url_i = 1, owner_i = 2, encryption_key_i = 2, main_file_id_i = 1, trusted_by_source = 1, x_source = Binlog, y_source = Server
[ 4][t 4][1758618412.893329858][FileManager.cpp:1643][#1][!Td]	Forget file 11256(0)
[ 3][t 4][1758618412.893331527][FileManager.cpp:2051][#1][!Td]	Choose between [Thumbnail, DcId{4}, [file_reference:AGjSYywQZEgkdkba16JDO67PztQx], location = [ID = 5986595626442294065, access_hash = 4685477135762178250, PhotoSizeSourceThumbnail[Thumbnail, type = v]]] from Binlog and [Thumbnail, DcId{4}, [file_reference:AGjSYywQZEgkdkba16JDO67PztQx], location = [ID = 5986595626442294065, access_hash = 4685477135762178250, PhotoSizeSourceThumbnail[Thumbnail, type = v]]] from Server
[ 3][t 4][1758618412.893333196][FileManager.cpp:1789][#1][!Td]	Register [Thumbnail, DcId{4}, [file_reference:AGjSYywQZEgkdkba16JDO67PztQx], location = [ID = 5986595626442294065, access_hash = 4685477135762178250, PhotoSizeSourceThumbnail[Thumbnail, type = v]]] as 11256(0)
[ 3][t 4][1758618412.893334865][FileManager.cpp:2219][#1][!Td]	Merge new file 11256(0) and old file 11002(0)
[ 3][t 4][1758618412.893336057][FileManager.cpp:2051][#1][!Td]	Choose between [Thumbnail, DcId{4}, [file_reference:AGjSYywQZEgkdkba16JDO67PztQx], location = [ID = 5986595626442294065, access_hash = 4685477135762178250, PhotoSizeSourceThumbnail[Thumbnail, type = v]]] from Binlog and [Thumbnail, DcId{4}, [file_reference:AGjSYywQZEgkdkba16JDO67PztQx], location = [ID = 5986595626442294065, access_hash = 4685477135762178250, PhotoSizeSourceThumbnail[Thumbnail, type = v]]] from Server
[ 4][t 4][1758618412.893337726][FileManager.cpp:2301][#1][!Td]	Have x_node->pmc_id_ = 0, y_node->pmc_id_ = 302, x_node_size = 1, y_node_size = 1, node_i = 1, local_i = 2, remote_i = 2, generate_i = 2, size_i = 2, remote_name_i = 1, url_i = 1, owner_i = 2, encryption_key_i = 2, main_file_id_i = 1, trusted_by_source = 1, x_source = Binlog, y_source = Server
[ 4][t 4][1758618412.893339395][FileManager.cpp:1643][#1][!Td]	Forget file 11256(0)
